Economy,Year,Economy Code,"Population, female (% of total population)"
Afghanistan,2021,AFG,49.488
Albania,2021,ALB,50.049
Algeria,2021,DZA,49.076
American Samoa,2021,ASM,50.507
Andorra,2021,AND,48.932
Angola,2021,AGO,50.581
Antigua and Barbuda,2021,ATG,52.252
Argentina,2021,ARG,50.494
Armenia,2021,ARM,54.980
Aruba,2021,ABW,52.874
Australia,2021,AUS,50.358
Austria,2021,AUT,50.784
Azerbaijan,2021,AZE,50.652
"Bahamas, The",2021,BHS,52.188
Bahrain,2021,BHR,37.903
Bangladesh,2021,BGD,50.402
Barbados,2021,BRB,52.050
Belarus,2021,BLR,53.906
Belgium,2021,BEL,50.610
Belize,2021,BLZ,49.696
Benin,2021,BEN,49.913
Bermuda,2021,BMU,51.760
Bhutan,2021,BTN,47.051
Bolivia,2021,BOL,49.844
Bosnia and Herzegovina,2021,BIH,50.774
Botswana,2021,BWA,50.637
Brazil,2021,BRA,50.873
British Virgin Islands,2021,VGB,51.880
Brunei Darussalam,2021,BRN,48.257
Bulgaria,2021,BGR,51.504
Burkina Faso,2021,BFA,50.179
Burundi,2021,BDI,50.349
Cabo Verde,2021,CPV,50.275
Cambodia,2021,KHM,50.497
Cameroon,2021,CMR,50.129
Canada,2021,CAN,50.308
Cayman Islands,2021,CYM,49.516
Central African Republic,2021,CAF,50.005
Chad,2021,TCD,49.804
Channel Islands,2021,CHI,50.520
Chile,2021,CHL,50.367
China,2021,CHN,48.941
Colombia,2021,COL,50.666
Comoros,2021,COM,49.770
"Congo, Dem. Rep.",2021,COD,50.388
"Congo, Rep.",2021,COG,50.059
Costa Rica,2021,CRI,49.966
Cote d'Ivoire,2021,CIV,49.496
Croatia,2021,HRV,51.311
Cuba,2021,CUB,50.346
Curacao,2021,CUW,52.085
Cyprus,2021,CYP,49.915
Czechia,2021,CZE,50.751
Denmark,2021,DNK,50.256
Djibouti,2021,DJI,50.352
Dominica,2021,DMA,50.231
Dominican Republic,2021,DOM,49.791
Ecuador,2021,ECU,50.068
"Egypt, Arab Rep.",2021,EGY,49.424
El Salvador,2021,SLV,52.382
Equatorial Guinea,2021,GNQ,47.177
Eritrea,2021,ERI,50.672
Estonia,2021,EST,52.572
Eswatini,2021,SWZ,50.361
Ethiopia,2021,ETH,49.749
Faroe Islands,2021,FRO,48.231
Fiji,2021,FJI,49.851
Finland,2021,FIN,50.596
France,2021,FRA,51.659
French Polynesia,2021,PYF,49.421
Gabon,2021,GAB,49.068
"Gambia, The",2021,GMB,50.259
Georgia,2021,GEO,52.983
Germany,2021,DEU,50.660
Ghana,2021,GHA,50.125
Gibraltar,2021,GIB,50.054
Greece,2021,GRC,51.013
Greenland,2021,GRL,47.384
Grenada,2021,GRD,49.959
Guam,2021,GUM,49.641
Guatemala,2021,GTM,50.496
Guinea,2021,GIN,50.592
Guinea-Bissau,2021,GNB,50.638
Guyana,2021,GUY,51.075
Haiti,2021,HTI,50.445
Honduras,2021,HND,49.499
"Hong Kong SAR, China",2021,HKG,53.879
Hungary,2021,HUN,52.066
Iceland,2021,ISL,48.743
India,2021,IND,48.386
Indonesia,2021,IDN,49.644
"Iran, Islamic Rep.",2021,IRN,49.471
Iraq,2021,IRQ,49.930
Ireland,2021,IRL,50.448
Isle of Man,2021,IMN,50.471
Israel,2021,ISR,50.145
Italy,2021,ITA,51.261
Jamaica,2021,JAM,50.385
Japan,2021,JPN,51.395
Jordan,2021,JOR,48.152
Kazakhstan,2021,KAZ,51.916
Kenya,2021,KEN,50.422
Kiribati,2021,KIR,51.329
"Korea, Dem. People's Rep.",2021,PRK,50.545
"Korea, Rep.",2021,KOR,50.058
Kosovo,2021,XKX,50.156
Kuwait,2021,KWT,39.044
Kyrgyz Republic,2021,KGZ,50.895
Lao PDR,2021,LAO,49.595
Latvia,2021,LVA,53.680
Lebanon,2021,LBN,51.481
Lesotho,2021,LSO,50.659
Liberia,2021,LBR,50.222
Libya,2021,LBY,49.378
Liechtenstein,2021,LIE,50.426
Lithuania,2021,LTU,53.071
Luxembourg,2021,LUX,49.671
"Macao SAR, China",2021,MAC,53.061
Madagascar,2021,MDG,49.885
Malawi,2021,MWI,51.378
Malaysia,2021,MYS,48.869
Maldives,2021,MDV,42.328
Mali,2021,MLI,49.506
Malta,2021,MLT,47.987
Marshall Islands,2021,MHL,48.911
Mauritania,2021,MRT,51.016
Mauritius,2021,MUS,50.655
Mexico,2021,MEX,51.181
"Micronesia, Fed. Sts.",2021,FSM,49.706
Moldova,2021,MDA,52.532
Monaco,2021,MCO,50.984
Mongolia,2021,MNG,50.371
Montenegro,2021,MNE,51.281
Morocco,2021,MAR,49.656
Mozambique,2021,MOZ,50.939
Myanmar,2021,MMR,50.216
Namibia,2021,NAM,51.735
Nauru,2021,NRU,49.165
Nepal,2021,NPL,52.153
Netherlands,2021,NLD,50.311
New Caledonia,2021,NCL,50.222
New Zealand,2021,NZL,50.439
Nicaragua,2021,NIC,50.725
Niger,2021,NER,49.276
Nigeria,2021,NGA,49.472
North Macedonia,2021,MKD,50.141
Northern Mariana Islands,2021,MNP,46.248
Norway,2021,NOR,49.555
Oman,2021,OMN,38.905
Pakistan,2021,PAK,49.518
Palau,2021,PLW,47.953
Panama,2021,PAN,49.980
Papua New Guinea,2021,PNG,48.360
Paraguay,2021,PRY,49.801
Peru,2021,PER,50.482
Philippines,2021,PHL,49.230
Poland,2021,POL,51.643
Portugal,2021,PRT,52.821
Puerto Rico,2021,PRI,52.765
Qatar,2021,QAT,27.325
Romania,2021,ROU,51.652
Russian Federation,2021,RUS,53.555
Rwanda,2021,RWA,51.105
Samoa,2021,WSM,49.009
San Marino,2021,SMR,51.344
Sao Tome and Principe,2021,STP,50.111
Saudi Arabia,2021,SAU,42.236
Senegal,2021,SEN,50.837
Serbia,2021,SRB,52.073
Seychelles,2021,SYC,47.309
Sierra Leone,2021,SLE,49.899
Singapore,2021,SGP,47.695
Sint Maarten (Dutch part),2021,SXM,46.478
Slovak Republic,2021,SVK,51.173
Slovenia,2021,SVN,49.742
Solomon Islands,2021,SLB,48.904
Somalia,2021,SOM,49.866
South Africa,2021,ZAF,51.350
South Sudan,2021,SSD,50.498
Spain,2021,ESP,50.993
Sri Lanka,2021,LKA,51.822
St. Kitts and Nevis,2021,KNA,51.655
St. Lucia,2021,LCA,50.493
St. Martin (French part),2021,MAF,52.457
St. Vincent and the Grenadines,2021,VCT,49.000
Sudan,2021,SDN,50.030
Suriname,2021,SUR,50.180
Sweden,2021,SWE,49.628
Switzerland,2021,CHE,50.365
Syrian Arab Republic,2021,SYR,49.911
Tajikistan,2021,TJK,49.681
Tanzania,2021,TZA,50.592
Thailand,2021,THA,51.406
Timor-Leste,2021,TLS,49.006
Togo,2021,TGO,49.736
Tonga,2021,TON,50.537
Trinidad and Tobago,2021,TTO,50.658
Tunisia,2021,TUN,50.607
Turkiye,2021,TUR,49.880
Turkmenistan,2021,TKM,50.460
Turks and Caicos Islands,2021,TCA,49.619
Tuvalu,2021,TUV,48.634
Uganda,2021,UGA,50.493
Ukraine,2021,UKR,53.718
United Arab Emirates,2021,ARE,30.465
United Kingdom,2021,GBR,50.597
United States,2021,USA,50.462
Uruguay,2021,URY,51.565
Uzbekistan,2021,UZB,49.967
Vanuatu,2021,VUT,49.706
"Venezuela, RB",2021,VEN,50.508
Vietnam,2021,VNM,50.613
Virgin Islands (U.S.),2021,VIR,53.236
West Bank and Gaza,2021,PSE,50.122
"Yemen, Rep.",2021,YEM,49.461
Zambia,2021,ZMB,50.655
Zimbabwe,2021,ZWE,52.833
